| date | open | last | high | low | volume | amount | exchange |
| 2021-08-25 | 14657.65 | 14697.50 | 14697.50 | 14562.82 | 474861480 | 6957958487591 | 6957958487591.20 |
| 2021-08-26 | 14701.92 | 14415.46 | 14701.92 | 14409.88 | 518249334 | 7519324501948 | 7519324501948.28 |
| 2021-08-27 | 14382.18 | 14436.90 | 14537.15 | 14366.15 | 511404220 | 7388120391881 | 7388120391881.33 |
| 2021-08-30 | 14482.97 | 14423.37 | 14546.74 | 14339.38 | 551681254 | 7964344584433 | 7964344584433.49 |
| 2021-08-31 | 14407.94 | 14328.38 | 14418.26 | 14157.55 | 530028207 | 7580143632829 | 7580143632829.11 |
| 2021-09-01 | 14336.07 | 14314.09 | 14418.61 | 14058.25 | 601813174 | 8584052479325 | 8584052479325.10 |
| 2021-09-02 | 14294.54 | 14277.34 | 14348.82 | 14226.42 | 522249781 | 7459916840095 | 7459916840094.99 |
| 2021-09-03 | 14295.56 | 14179.86 | 14302.90 | 14118.73 | 597863328 | 8489956196386 | 8489956196386.24 |
| 2021-09-06 | 14184.42 | 14546.60 | 14567.14 | 14145.63 | 531572710 | 7665166847931 | 7665166847930.90 |
| 2021-09-07 | 14543.84 | 14702.90 | 14724.63 | 14483.55 | 532235188 | 7790340639694 | 7790340639694.35 |
| 2021-09-08 | 14706.88 | 14688.08 | 14789.09 | 14630.50 | 610923609 | 8982138980327 | 8982138980327.01 |
| 2021-09-09 | 14666.05 | 14698.53 | 14716.73 | 14547.07 | 571295675 | 8371829663974 | 8371829663974.25 |
| 2021-09-10 | 14673.45 | 14771.87 | 14811.51 | 14645.26 | 573881203 | 8460661710085 | 8460661710084.64 |
| 2021-09-13 | 14776.82 | 14705.83 | 14833.88 | 14648.78 | 549520224 | 8094156307674 | 8094156307673.92 |
| 2021-09-14 | 14699.22 | 14626.08 | 14844.26 | 14589.72 | 577552590 | 8482333922852 | 8482333922851.80 |
| 2021-09-15 | 14590.80 | 14536.31 | 14602.34 | 14476.19 | 515258089 | 7490966370147 | 7490966370146.92 |
| 2021-09-16 | 14527.10 | 14258.13 | 14550.31 | 14258.13 | 571644428 | 8206254924524 | 8206254924523.99 |
| 2021-09-17 | 14224.61 | 14359.36 | 14383.62 | 14136.47 | 509000414 | 7275219267364 | 7275219267364.10 |
| 2021-09-22 | 14139.90 | 14277.08 | 14311.96 | 14117.63 | 435910687 | 6205431286394 | 6205431286394.10 |
