| date | open | last | high | low | volume | amount | exchange |
| 2021-07-29 | 7057.88 | 7207.48 | 7226.50 | 7057.88 | 182692230 | 1308798610083 | 1308798610082.60 |
| 2021-07-30 | 7209.04 | 7262.38 | 7279.06 | 7155.22 | 202917306 | 1467542598799 | 1467542598799.32 |
| 2021-08-02 | 7264.37 | 7402.35 | 7402.40 | 7248.89 | 213300146 | 1568014877277 | 1568014877277.15 |
| 2021-08-03 | 7375.22 | 7308.96 | 7419.34 | 7284.18 | 209470826 | 1536990789303 | 1536990789302.83 |
| 2021-08-04 | 7295.57 | 7478.21 | 7478.21 | 7295.45 | 186334118 | 1382094190100 | 1382094190100.22 |
| 2021-08-05 | 7454.28 | 7447.94 | 7494.33 | 7402.38 | 198831153 | 1480937507627 | 1480937507627.15 |
| 2021-08-06 | 7462.86 | 7482.17 | 7490.98 | 7419.73 | 186015124 | 1388471449972 | 1388471449972.37 |
| 2021-08-09 | 7459.35 | 7507.08 | 7509.33 | 7386.31 | 181108880 | 1352443842718 | 1352443842717.87 |
| 2021-08-10 | 7489.16 | 7549.55 | 7566.73 | 7467.06 | 189048528 | 1423115728108 | 1423115728107.84 |
| 2021-08-11 | 7538.82 | 7605.92 | 7611.65 | 7498.58 | 196350392 | 1486774985744 | 1486774985743.60 |
| 2021-08-12 | 7595.26 | 7657.53 | 7677.74 | 7588.74 | 210250483 | 1606594724932 | 1606594724932.28 |
| 2021-08-13 | 7635.49 | 7641.92 | 7724.44 | 7605.86 | 208006530 | 1592790589532 | 1592790589532.20 |
| 2021-08-16 | 7628.16 | 7568.14 | 7633.66 | 7546.54 | 201569545 | 1528457514435 | 1528457514435.10 |
| 2021-08-17 | 7559.30 | 7360.03 | 7578.43 | 7338.02 | 207426805 | 1540246357682 | 1540246357682.13 |
| 2021-08-18 | 7352.97 | 7405.49 | 7454.03 | 7338.82 | 178940546 | 1324061026631 | 1324061026631.21 |
| 2021-08-19 | 7387.44 | 7468.77 | 7511.19 | 7330.60 | 182890322 | 1360128500800 | 1360128500800.11 |
| 2021-08-20 | 7438.70 | 7467.36 | 7505.55 | 7354.17 | 176822352 | 1315975599631 | 1315975599630.72 |
| 2021-08-23 | 7501.41 | 7652.56 | 7668.89 | 7501.41 | 201491657 | 1532871959626 | 1532871959626.34 |
| 2021-08-24 | 7654.19 | 7715.07 | 7737.60 | 7614.94 | 212658510 | 1635174523954 | 1635174523953.70 |
| 2021-08-25 | 7707.09 | 7769.63 | 7769.70 | 7664.29 | 206398314 | 1596396015566 | 1596396015565.56 |
| 2021-08-26 | 7754.68 | 7669.53 | 7771.85 | 7662.38 | 228221412 | 1757590909903 | 1757590909903.04 |
| 2021-08-27 | 7634.93 | 7680.08 | 7686.34 | 7584.28 | 212891234 | 1628667614721 | 1628667614721.27 |
| 2021-08-30 | 7701.42 | 7727.75 | 7792.52 | 7687.15 | 236841828 | 1832162591988 | 1832162591987.92 |
| 2021-08-31 | 7714.17 | 7728.42 | 7728.42 | 7636.77 | 235455501 | 1812505837483 | 1812505837482.87 |
| 2021-09-01 | 7738.27 | 7606.87 | 7743.18 | 7495.76 | 267723537 | 2038787019610 | 2038787019609.99 |
| 2021-09-02 | 7572.05 | 7690.86 | 7703.72 | 7568.07 | 226086526 | 1730515255418 | 1730515255417.97 |
| 2021-09-03 | 7696.46 | 7630.84 | 7766.46 | 7561.23 | 267044514 | 2043649828668 | 2043649828668.14 |
| 2021-09-06 | 7625.74 | 7735.10 | 7735.55 | 7552.95 | 227954100 | 1749441338920 | 1749441338920.00 |
| 2021-09-07 | 7735.22 | 7878.35 | 7881.87 | 7718.59 | 228559607 | 1788769195476 | 1788769195475.89 |
| 2021-09-08 | 7886.27 | 7894.25 | 7911.02 | 7854.89 | 254321788 | 2005764731855 | 2005764731855.36 |
| 2021-09-09 | 7888.83 | 7900.24 | 7922.41 | 7835.15 | 238201734 | 1878442994208 | 1878442994208.40 |
| 2021-09-10 | 7897.33 | 7932.65 | 7954.48 | 7832.96 | 240016301 | 1897736087062 | 1897736087062.36 |
| 2021-09-13 | 7941.21 | 7947.48 | 7955.98 | 7875.00 | 230685196 | 1828446235226 | 1828446235226.05 |
| 2021-09-14 | 7927.89 | 7916.90 | 8042.52 | 7895.18 | 243225554 | 1934016100149 | 1934016100149.47 |
| 2021-09-15 | 7900.69 | 7972.23 | 7988.37 | 7862.31 | 213453916 | 1695031143339 | 1695031143338.52 |
| 2021-09-16 | 7974.08 | 7754.95 | 7993.22 | 7749.66 | 236666551 | 1853716794028 | 1853716794028.11 |
| 2021-09-17 | 7740.56 | 7730.22 | 7786.19 | 7575.08 | 214238032 | 1649025124516 | 1649025124515.89 |
| 2021-09-22 | 7640.47 | 7769.06 | 7774.51 | 7633.28 | 182733915 | 1411732179289 | 1411732179289.25 |
| 2021-09-23 | 7818.73 | 7806.80 | 7850.24 | 7792.59 | 212400135 | 1660234859233 | 1660234859233.35 |
| 2021-09-24 | 7799.92 | 7695.62 | 7806.81 | 7685.11 | 206463409 | 1595792851575 | 1595792851574.62 |
| 2021-09-27 | 7717.10 | 7467.82 | 7733.21 | 7399.81 | 213183646 | 1606043157954 | 1606043157954.21 |
| 2021-09-28 | 7428.41 | 7468.73 | 7496.33 | 7409.37 | 158064850 | 1178870307262 | 1178870307261.83 |
| 2021-09-29 | 7409.96 | 7199.18 | 7413.80 | 7199.11 | 172550145 | 1254559764084 | 1254559764084.35 |
| 2021-09-30 | 7237.54 | 7405.46 | 7411.28 | 7237.54 | 146442233 | 1076559336802 | 1076559336802.41 |
| 2021-10-08 | 7501.24 | 7425.67 | 7514.24 | 7382.02 | 159460337 | 1186487493430 | 1186487493430.14 |
| 2021-10-11 | 7441.62 | 7384.84 | 7442.35 | 7346.86 | 150601221 | 1113146334838 | 1113146334838.35 |
| 2021-10-12 | 7366.16 | 7208.47 | 7376.73 | 7125.54 | 156643677 | 1133616714664 | 1133616714663.66 |
| 2021-10-13 | 7213.01 | 7289.36 | 7297.30 | 7147.01 | 131191523 | 950424422560 | 950424422559.80 |
| 2021-10-14 | 7276.51 | 7342.25 | 7362.46 | 7256.98 | 128930725 | 943845537975 | 943845537975.08 |
| 2021-10-15 | 7321.58 | 7350.41 | 7374.34 | 7288.28 | 145334937 | 1066420776076 | 1066420776076.37 |
| 2021-10-18 | 7344.57 | 7429.63 | 7429.63 | 7322.70 | 144948204 | 1071745087733 | 1071745087733.28 |
| 2021-10-19 | 7420.48 | 7504.05 | 7506.09 | 7408.12 | 152408117 | 1138908264339 | 1138908264338.81 |
| 2021-10-20 | 7467.34 | 7523.56 | 7560.85 | 7456.81 | 155743734 | 1170217923905 | 1170217923905.16 |
| 2021-10-21 | 7520.93 | 7503.53 | 7548.82 | 7481.44 | 158742478 | 1192356554444 | 1192356554443.87 |
| 2021-10-22 | 7506.87 | 7438.48 | 7530.58 | 7436.14 | 167656958 | 1252129225127 | 1252129225127.20 |
| 2021-10-25 | 7438.43 | 7532.37 | 7532.37 | 7417.20 | 150472175 | 1127635470006 | 1127635470006.50 |
| 2021-10-26 | 7547.75 | 7508.69 | 7583.13 | 7492.39 | 161427463 | 1215237241386 | 1215237241386.41 |
| 2021-10-27 | 7490.69 | 7433.55 | 7501.54 | 7408.58 | 162086332 | 1207201171239 | 1207201171239.48 |
| 2021-10-28 | 7395.49 | 7267.85 | 7422.10 | 7253.11 | 165925078 | 1213634647353 | 1213634647352.89 |
| 2021-10-29 | 7276.51 | 7385.30 | 7385.41 | 7234.50 | 158534550 | 1162862021668 | 1162862021668.50 |
| 2021-11-01 | 7374.45 | 7455.61 | 7488.48 | 7357.67 | 172033253 | 1278881440142 | 1278881440141.76 |
| 2021-11-02 | 7462.13 | 7368.60 | 7501.96 | 7301.65 | 187513416 | 1385862279123 | 1385862279123.12 |
| 2021-11-03 | 7362.12 | 7385.20 | 7391.05 | 7312.25 | 145619008 | 1072168486069 | 1072168486069.33 |
| 2021-11-04 | 7402.66 | 7483.69 | 7483.69 | 7402.66 | 161717927 | 1205878831902 | 1205878831902.36 |
| 2021-11-05 | 7476.14 | 7389.59 | 7488.12 | 7388.20 | 181677566 | 1348405444525 | 1348405444525.02 |
| 2021-11-08 | 7376.71 | 7422.91 | 7423.01 | 7351.50 | 152051651 | 1125051452980 | 1125051452980.14 |
| 2021-11-09 | 7443.45 | 7531.96 | 7532.25 | 7435.51 | 155570244 | 1166762310111 | 1166762310110.56 |
| 2021-11-10 | 7516.00 | 7535.23 | 7535.24 | 7425.23 | 166809268 | 1250830416716 | 1250830416715.87 |
| 2021-11-11 | 7524.16 | 7593.73 | 7601.20 | 7515.71 | 171153194 | 1295666191261 | 1295666191261.39 |
| 2021-11-12 | 7593.45 | 7697.81 | 7705.05 | 7593.45 | 173746790 | 1331845014782 | 1331845014781.63 |
| 2021-11-15 | 7713.85 | 7676.48 | 7727.02 | 7653.71 | 189553649 | 1456859430420 | 1456859430419.76 |
| 2021-11-16 | 7659.02 | 7589.18 | 7691.65 | 7579.68 | 177013065 | 1348869647521 | 1348869647521.05 |
| 2021-11-17 | 7603.33 | 7725.09 | 7725.09 | 7603.33 | 174824288 | 1343437823884 | 1343437823883.63 |
| 2021-11-18 | 7724.03 | 7714.80 | 7765.74 | 7686.14 | 198504448 | 1532896341798 | 1532896341797.55 |
| 2021-11-19 | 7709.31 | 7803.76 | 7806.03 | 7705.84 | 188001126 | 1461121564466 | 1461121564466.46 |
| 2021-11-22 | 7822.96 | 7947.37 | 7948.02 | 7822.96 | 190400270 | 1505326747985 | 1505326747984.83 |
| 2021-11-23 | 7950.25 | 7941.56 | 7974.51 | 7933.20 | 193422045 | 1537658191719 | 1537658191719.05 |
| 2021-11-24 | 7939.59 | 7938.77 | 7971.44 | 7917.68 | 188605678 | 1498025116253 | 1498025116253.14 |
| 2021-11-25 | 7937.40 | 7925.76 | 7959.84 | 7919.66 | 175838157 | 1395291015102 | 1395291015101.94 |
| 2021-11-26 | 7912.89 | 7940.79 | 7954.79 | 7906.35 | 173916847 | 1379852206038 | 1379852206038.24 |
| 2021-11-29 | 7837.39 | 7999.83 | 7999.94 | 7828.92 | 176453409 | 1401551194168 | 1401551194168.07 |
| 2021-11-30 | 8037.26 | 8054.29 | 8082.90 | 7991.19 | 197562643 | 1588955508036 | 1588955508036.11 |
| 2021-12-01 | 8050.89 | 8055.82 | 8068.38 | 8000.81 | 189074930 | 1520478192333 | 1520478192333.10 |
| 2021-12-02 | 8045.73 | 7968.24 | 8046.25 | 7964.74 | 184672448 | 1476101035085 | 1476101035085.01 |
| 2021-12-03 | 7973.62 | 8023.96 | 8034.69 | 7952.37 | 179063016 | 1433161886145 | 1433161886145.44 |
| 2021-12-06 | 8018.46 | 7906.76 | 8029.83 | 7899.91 | 191520328 | 1521724766124 | 1521724766124.00 |
| 2021-12-07 | 7937.23 | 7781.44 | 7948.17 | 7713.92 | 182389995 | 1425288439827 | 1425288439827.45 |
| 2021-12-08 | 7806.38 | 7922.55 | 7922.55 | 7803.44 | 161307050 | 1271558741402 | 1271558741402.33 |
| 2021-12-09 | 7924.53 | 7931.76 | 7948.03 | 7903.68 | 181252221 | 1436935586862 | 1436935586862.29 |
| 2021-12-10 | 7898.64 | 7949.12 | 7964.35 | 7886.13 | 173465763 | 1376138591032 | 1376138591031.60 |
| 2021-12-13 | 7963.48 | 7984.90 | 8000.11 | 7936.62 | 189522058 | 1511225516105 | 1511225516104.85 |
| 2021-12-14 | 7969.60 | 7981.83 | 7997.18 | 7952.75 | 193212509 | 1541305131462 | 1541305131461.95 |
