| date | open | last | high | low | volume | amount | exchange |
| 2021-05-25 | 3505.81 | 3641.29 | 3645.07 | 3505.63 | 44182866 | 125736431616 | 0.27 |
| 2021-05-26 | 3656.34 | 3657.19 | 3678.07 | 3643.98 | 34559396 | 96585658368 | 0.21 |
| 2021-05-27 | 3645.48 | 3664.94 | 3709.00 | 3628.96 | 29879120 | 85146996736 | 0.19 |
| 2021-05-28 | 3663.88 | 3659.30 | 3689.25 | 3630.57 | 28682846 | 80468828160 | 0.18 |
| 2021-05-31 | 3652.89 | 3650.22 | 3652.89 | 3615.42 | 26328401 | 77917925376 | 0.16 |
| 2021-06-01 | 3641.97 | 3650.90 | 3652.95 | 3608.20 | 28161547 | 82850566144 | 0.17 |
| 2021-06-02 | 3661.94 | 3622.40 | 3665.92 | 3604.78 | 27975392 | 74309804032 | 0.17 |
| 2021-06-03 | 3620.79 | 3591.16 | 3637.00 | 3589.23 | 26020146 | 67857427456 | 0.16 |
| 2021-06-04 | 3574.30 | 3612.70 | 3655.92 | 3573.70 | 28857581 | 77839323136 | 0.18 |
| 2021-06-07 | 3610.89 | 3601.11 | 3613.28 | 3579.01 | 25698179 | 69785325568 | 0.16 |
| 2021-06-08 | 3597.94 | 3580.28 | 3634.82 | 3558.46 | 26079669 | 71710666752 | 0.16 |
| 2021-06-09 | 3575.49 | 3587.53 | 3599.62 | 3572.36 | 27296859 | 64359867648 | 0.17 |
| 2021-06-10 | 3588.14 | 3607.68 | 3634.92 | 3582.16 | 28657592 | 82288328704 | 0.18 |
| 2021-06-11 | 3610.14 | 3576.78 | 3611.25 | 3564.65 | 40729745 | 99002003456 | 0.25 |
| 2021-06-15 | 3570.40 | 3528.67 | 3579.09 | 3513.13 | 37547489 | 102892765184 | 0.23 |
| 2021-06-16 | 3525.75 | 3486.29 | 3532.85 | 3480.41 | 31629333 | 86503964672 | 0.20 |
| 2021-06-17 | 3477.47 | 3481.60 | 3503.55 | 3467.58 | 29446419 | 78288355328 | 0.18 |
| 2021-06-18 | 3475.55 | 3454.59 | 3488.26 | 3426.03 | 36119342 | 111281106944 | 0.22 |
| 2021-06-21 | 3440.74 | 3431.25 | 3455.56 | 3410.40 | 30456915 | 92989755392 | 0.19 |
| 2021-06-22 | 3444.75 | 3464.71 | 3469.81 | 3437.95 | 32625885 | 92981030912 | 0.20 |
| 2021-06-23 | 3469.28 | 3471.34 | 3496.44 | 3460.69 | 29564533 | 99664195584 | 0.18 |
| 2021-06-24 | 3476.68 | 3483.91 | 3487.27 | 3452.61 | 28769183 | 87538540544 | 0.18 |
| 2021-06-25 | 3483.16 | 3535.02 | 3545.43 | 3479.74 | 36027211 | 105068224512 | 0.22 |
| 2021-06-28 | 3541.10 | 3520.74 | 3543.70 | 3502.78 | 29701717 | 91488575488 | 0.18 |
| 2021-06-29 | 3514.32 | 3482.73 | 3517.36 | 3475.44 | 28814608 | 91790245888 | 0.18 |
| 2021-06-30 | 3477.38 | 3498.65 | 3504.96 | 3477.38 | 24932786 | 79988084736 | 0.15 |
| 2021-07-01 | 3510.56 | 3535.25 | 3535.33 | 3479.52 | 29553157 | 97508708352 | 0.18 |
| 2021-07-02 | 3495.60 | 3408.24 | 3495.60 | 3403.80 | 34710862 | 109413138432 | 0.22 |
| 2021-07-05 | 3402.11 | 3404.79 | 3415.56 | 3376.84 | 30926793 | 98605797376 | 0.19 |
| 2021-07-06 | 3405.47 | 3405.28 | 3406.76 | 3368.14 | 29211833 | 101932310528 | 0.18 |
| 2021-07-07 | 3384.57 | 3424.39 | 3433.73 | 3382.24 | 26919459 | 91386392576 | 0.17 |
| 2021-07-08 | 3432.89 | 3373.26 | 3434.15 | 3365.53 | 33862453 | 105794826240 | 0.21 |
| 2021-07-09 | 3359.20 | 3361.59 | 3373.14 | 3329.74 | 31636606 | 91530948608 | 0.20 |
| 2021-07-12 | 3385.12 | 3384.51 | 3413.35 | 3357.13 | 38416319 | 111103873024 | 0.24 |
| 2021-07-13 | 3384.75 | 3391.74 | 3409.79 | 3377.20 | 31407675 | 92901326848 | 0.19 |
| 2021-07-14 | 3385.39 | 3339.38 | 3385.39 | 3328.88 | 34733676 | 94723338240 | 0.22 |
| 2021-07-15 | 3335.05 | 3411.29 | 3414.42 | 3332.78 | 31955193 | 98485358592 | 0.20 |
| 2021-07-16 | 3405.40 | 3369.90 | 3413.27 | 3365.95 | 27229855 | 89680220160 | 0.17 |
| 2021-07-19 | 3362.58 | 3385.37 | 3390.27 | 3322.32 | 29817037 | 83949101056 | 0.18 |
| 2021-07-20 | 3364.31 | 3378.63 | 3382.09 | 3357.75 | 25865362 | 76937027584 | 0.16 |
| 2021-07-21 | 3385.14 | 3388.52 | 3410.82 | 3375.63 | 33490582 | 110550847488 | 0.21 |
| 2021-07-22 | 3386.91 | 3392.72 | 3410.63 | 3378.12 | 36955443 | 116416573440 | 0.23 |
| 2021-07-23 | 3389.40 | 3357.45 | 3389.43 | 3353.04 | 36847907 | 112334864384 | 0.23 |
| 2021-07-26 | 3339.86 | 3228.37 | 3339.86 | 3195.62 | 44339594 | 142189563904 | 0.27 |
